"forras","operativ_program","program","varos","nyertes","leiras","datum","osszeg","Jogallas","Megye","Kisterseg","Lako_nepesseg","roma_onkormanyzat","tipus","ev"
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Ajak","""Diesel Center"" Mezőgazdasági, Ipari, Kereskedelmi és Szolgáltató Betéti Társaság","Gyakornok foglalkoztatása  Bosch-Car szervizben",2017-02-16,2.163535,"város","Szabolcs-Szatmár-Bereg","Kisvárdai","3709","van","HH",2017
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Ajka","SPEED-TECH Forgácsoló Technika Kft","A Speed-Tech Kft. fémmegmunkáló tevékenységének fejlesztése",2015-05-04,40.289462,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Ajka","ER-FA Erdészeti és Faipari Korlátolt Felelősségű Társaság","Gyártói géppark fejlesztése az ER-FA Kft-nél",2015-05-04,10.350466,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Ajka","MANTEX Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","A MANTEX Kft. termelési kapacitásainak bővítése",2015-05-14,18.790593,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Ajka","Kókai Tömítéstechnikai Korlátolt Felelősségű Társaság","Termelési kapacitásbővítő beruházás technológiai fejlesztés ",2015-05-15,95.083817,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Ajka","Rózsa Művek Korlátolt Felelősségű Társaság","A Rózsa Művek Kft. termelési kapacitásának bővítése",2015-05-15,17.1839,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Ajka","M.N.P. 2000. Korlátolt Felelősségű Társaság","Gyártóképességet növelő eszközbeszerzés az M.N.P 2000 Kft.-nél",2015-06-04,23.273472,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Ajka","KOÓP 55 Szerszámkészítő és Forgácsoló Korlátolt Felelősségű Társaság","A KOÓP 55 Kft. termelési kapacitásainak bővítése",2015-06-04,31.649965,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Ajka","DROIDX Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","A DROIDX Kft. termelési kapacitásának bővítése",2015-07-23,87.760883,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.1-15","GINOP","Mikro, kis- és középvállalkozások termelési kapacitásainak bővítése","Ajka","Developtest Fejlesztő és Szolgáltató Korlátolt Felelősségű Társaság","Gumitermék gyártókapacitás fejlesztése a magasabb hozzáadott értékű és magasabb feldolgozottságú termékek előállítása érdekében",2015-12-21,110.285224,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2015
