"forras","operativ_program","program","varos","nyertes","leiras","datum","osszeg","Jogallas","Megye","Kisterseg","Lako_nepesseg","roma_onkormanyzat","tipus","ev"
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Felsőtárkány","""Kürti-Ép.-Szer."" Épitő-Szerelő-és Kereskedelmi Korlátolt Felelősségű Társaság","A termelés kapacitásának bővítése élhajlító gép beszerzésével a ""Kürti-Ép.-Szer."" Kft. számára",2015-07-23,10.256601,"község","Heves","Egri","3544","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.1-15","GINOP","Mikro, kis- és középvállalkozások termelési kapacitásainak bővítése","Felsőtárkány","EUROCIRCUITS Nyomtatott Áramkör Gyártó Korlátolt Felelősségű Társaság","Kapacitásbővítéshez kapcsolódó fejlesztés megvalósítása az Eurocircuits Kft-nél",2015-12-21,497.016219,"község","Heves","Egri","3544","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.1-15","GINOP","Mikro, kis- és középvállalkozások termelési kapacitásainak bővítése","Felsőtárkány","MEDIOX Orvosi Műszer Gyártó és Szolgáltató Korlátolt Felelősségű Társaság","Orvostechnikai egységek beszállításához kapcsolódó kapacitásbővítő fejlesztés a Mediox Kft-nél",2015-12-21,51.868649,"község","Heves","Egri","3544","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Felsőtárkány","LAERTA 2009 Ipari és Kereskedelmi Korlátolt Felelősségű Társaság","Kapacitásbővítő beruházás a Laerta 2009 Kft-nél",2016-01-18,14.512221,"község","Heves","Egri","3544","van","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Felsőtárkány","FRAM-CORR Fémrakó és Megmunkáló Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Kapacitásbővítő beruházás a Fram-Corr Kft.-nél",2016-05-23,26.151562,"község","Heves","Egri","3544","van","nem_hatranyos_helyzetu",2016
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Felsőtárkány","FELSŐTÁRKÁNY KÖZSÉG ÖNKORMÁNYZATA","FELSŐTÁRKÁNY KÖZSÉG ÖNKORMÁNYZATA ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,7,"község","Heves","Egri","3544","van","nem_hatranyos_helyzetu",2016
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Felsőtárkány","Kárpátok Alapítvány-Magyarország","„Észak-magyarországi települések kisközösségeinek megerősítése, aktivizálása”",2017-02-08,24.996839,"község","Heves","Egri","3544","van","nem_hatranyos_helyzetu",2017
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Felsőzsolca","EST Hungary Termelő, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Az EST Hungary Kft. termelési kapacitásainak bővítése",2015-05-15,85.0235,"város","Borsod-Abaúj-Zemplén","Miskolci","6486","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.1-15","GINOP","Mikro, kis- és középvállalkozások termelési kapacitásainak bővítése","Felsőzsolca","PROFI-IRODAHÁZ Kereskedelmi és Szolgáltató 2004 Kft.","Termelési kapacitás bővítése eszközbeszerzéssel a PROFI-IRODAHÁZ 2004 Kft.-nél",2015-12-21,78.4581,"város","Borsod-Abaúj-Zemplén","Miskolci","6486","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.1-15","GINOP","Mikro, kis- és középvállalkozások termelési kapacitásainak bővítése","Felsőzsolca","INDUSTAR Ipari Termelő, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Az INDUSTAR Kft. termelési kapacitásának bővítése lézervágó és csőhajlító gépek beszerzésével",2016-01-13,146.844635,"város","Borsod-Abaúj-Zemplén","Miskolci","6486","van","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Felsőzsolca","I-SEC Biztonságtechnikai Korlátolt Felelősségű Társaság","Új üzletág elindítása az I-Sec Biztonságtechnikai Kft.-ben",2016-05-24,35.963787,"város","Borsod-Abaúj-Zemplén","Miskolci","6486","van","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Felsőzsolca","Mámor Pálinkaház Manufaktúra Korlátolt Felelősségű Társaság","A Mámor Pálinkaház Kft. termelési kapacitást bővítő beruházása",2016-07-08,37.608207,"város","Borsod-Abaúj-Zemplén","Miskolci","6486","van","nem_hatranyos_helyzetu",2016
"EFOP-3.3.1-15","EFOP","Tanoda programok támogatása","Felsőzsolca","Együtt Felsőzsolcáért Egyesület","""Csillagfény Tanoda"" Felsőzsolca Városban ",2016-09-27,30,"város","Borsod-Abaúj-Zemplén","Miskolci","6486","van","nem_hatranyos_helyzetu",2016
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Felsőzsolca","Együtt Felsőzsolcáért Egyesület","""Aktívan a közösségért!""",2017-02-08,25,"város","Borsod-Abaúj-Zemplén","Miskolci","6486","van","nem_hatranyos_helyzetu",2017
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Felsőzsolca","Felsőzsolcai Szent István Katolikus Általános Iskola","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével a Felsőzsolcai Szent István Katolikus Általános Iskolában",2017-02-08,25,"város","Borsod-Abaúj-Zemplén","Miskolci","6486","van","nem_hatranyos_helyzetu",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Felsőzsolca","TECHNI-TONN Tervező,- Fővállalkozó és Kereskedelmi Korlátolt Felelősségű Társaság","Gyakornoki program a Techni Tonn Kft.-nél",2017-02-16,5.628694,"város","Borsod-Abaúj-Zemplén","Miskolci","6486","van","nem_hatranyos_helyzetu",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Felsőörs","FaBara Korlátolt Felelősségű Társaság","Pályakezdő gyakornokok foglalkoztatása a FaBara Kft-nél",2017-02-10,5.23102,"község","Veszprém","Balatonalmádi","1663","nincs","nem_hatranyos_helyzetu",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Felsőörs","FABIRODALOM Faipari, Kereskedelmi és Szolgáltató KorlátoltFelelősségű Társaság","Gyakornoki program a FABIRODALOM Kft-nél",2017-02-15,2.7515,"község","Veszprém","Balatonalmádi","1663","nincs","nem_hatranyos_helyzetu",2017
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Ferencszállás","Boldogok a Szegények Alapítvány","Társadalmi szerepvállalás erősítése a Boldogok a Szegények Alapítvány programja keretében",2017-02-08,24.930595,"község","Csongrád","Szegedi","598","nincs","HH",2017
"GINOP-2.3.3-15","GINOP","Kutatási infrastruktúra megerősítése – nemzetköziesedés, hálózatosodás","Fertőboz","MAGYAR TUDOMÁNYOS AKADÉMIA CSILLAGÁSZATI ÉS FÖLDTUDOMÁNYI KUTATÓKÖZPONT","Mágneses nulltér laboratórium létrehozása",2016-12-13,434.599,"község","Győr-Moson-Sopron","Soproni","311","nincs","nem_hatranyos_helyzetu",2016
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Fertőd","MARMORIT Öntöttmárvány Termelő és Kereskedelmi Korlátolt Felelősségű Társaság","Gyártási technológia fejlesztése a Marmorit Kft-nél",2015-07-23,22.07871,"város","Győr-Moson-Sopron","Soproni","3396","nincs","nem_hatranyos_helyzetu",2015
"GINOP-7.1.1-15","GINOP","Nemzeti Kastély- és Várprogram turisztikai célú fejlesztéseinek támogatása","Fertőd","Forster Gyula Nemzeti Örökségvédelmi és Vagyongazdálkodási Központ","A fertődi  Esterházy - kastély turisztikai célú fejlesztése",2016-08-08,3000,"város","Győr-Moson-Sopron","Soproni","3396","nincs","nem_hatranyos_helyzetu",2016
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Fertőd","FERTŐD VÁROS ÖNKORMÁNYZATA","FERTŐD VÁROS ÖNKORMÁNYZATA ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,7,"város","Győr-Moson-Sopron","Soproni","3396","nincs","nem_hatranyos_helyzetu",2016
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Fertőd","Fertődi Babos József Térségi Általános Iskola Diákjaiért Alapítvány","A Fertődi BJT Általános Iskola Diákjaiért Alapítvány közösségfejlesztő programjai a társadalmi szerepvállalás erősítéséért",2017-02-08,25,"város","Győr-Moson-Sopron","Soproni","3396","nincs","nem_hatranyos_helyzetu",2017
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Fertőrákos","FERTŐRÁKOS KÖZSÉGI ÖNKORMÁNYZAT","FERTŐRÁKOS KÖZSÉGI ÖNKORMÁNYZAT ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,6,"község","Győr-Moson-Sopron","Soproni","2283","nincs","nem_hatranyos_helyzetu",2016
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Fertőszentmiklós","POLYTECH INDUSTRIE Korlátolt Felelősségű Társaság","Kapacitásbővítés a Polytech Industrie Kft.-nél",2015-05-14,49.086337,"város","Győr-Moson-Sopron","Soproni","3864","nincs","nem_hatranyos_helyzetu",2015
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Fertőszentmiklós","Fertőszentmiklós Városi Önkormányzat","Fertőszentmiklós Városi Önkormányzat ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,7,"város","Győr-Moson-Sopron","Soproni","3864","nincs","nem_hatranyos_helyzetu",2016
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Fertőszéplak","FERTŐSZÉPLAK KÖZSÉGI ÖNKORMÁNYZAT","FERTŐSZÉPLAK KÖZSÉGI ÖNKORMÁNYZAT ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,5.999833,"község","Győr-Moson-Sopron","Soproni","1322","nincs","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Fiad","NAVIGATION-INFO Üzleti, Informatikai, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Vákuumgépházak beszerzése és üzemeltetése NAVIGATION-INFO Kft. Fiadi telephelyén.",2016-03-25,7.02717,"község","Somogy","Tabi","127","nincs","LHH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Fiad","""SZORGOS FUVAR"" Fuvarozó, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","A Szorgos Fuvar Kft. kapacitásfejlesztése",2016-06-02,15.30807,"község","Somogy","Tabi","127","nincs","LHH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Fiad","BELSOUND Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","A Belsound Kft. gyártási tevékenységének fejlesztése",2016-07-08,38.031102,"község","Somogy","Tabi","127","nincs","LHH",2016
"GINOP-1.2.1-15","GINOP","Mikro, kis- és középvállalkozások termelési kapacitásainak bővítése","Fonyód","GET Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Termelési kapacitás bővítése a GET Kft-nél",2015-12-21,101.768799,"város","Somogy","Fonyódi","4745","nincs","nem_hatranyos_helyzetu",2015
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Fonyód","F-COMP Kereskedelmi és Szolgáltató Betéti Társaság","Gépbeszerzéssel a sikeres működésért.",2016-01-22,10.215,"város","Somogy","Fonyódi","4745","nincs","nem_hatranyos_helyzetu",2016
"IKOP-2.1.0-15","IKOP","Nemzetközi (TEN-T) vasúti és vízi elérhetőség javítása","Fonyód","NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság","Székesfehérvár – Keszthely vasútvonal rekonstrukciója I. ütem 2. szakasz, Szántód-Kőröshegy – Balatonszentgyörgy vonalszakasz rekonstrukciója",2016-03-31,72406.093957,"város","Somogy","Fonyódi","4745","nincs","nem_hatranyos_helyzetu",2016
"IKOP-3.2.0-15","IKOP","Fenntartható városi közlekedés fejlesztése és elővárosi vasúti elérhetőség javítása a kevésbé fejlett régiókban","Fonyód","NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság","Kaposvár - Fonyód vasútvonal állapotjavítása",2016-03-31,15000,"város","Somogy","Fonyódi","4745","nincs","nem_hatranyos_helyzetu",2016
"GINOP-1.3.1-15","GINOP","Mikro-, kis- és középvállalkozások piaci megjelenésének támogatása","Fonyód","GET Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Külpiaci terjeszkedés a GET Kft-nél",2016-07-06,11.8125,"város","Somogy","Fonyódi","4745","nincs","nem_hatranyos_helyzetu",2016
"KEHOP-5.2.2-16","KEHOP","Középületek kiemelt épületenergetikai fejlesztései","Fonyód","Nemzeti Fejlesztési és Stratégiai Intézet Korlátolt Felelősségű Társaság","Somogy megyei oktatási intézmények épületenergetikai fejlesztése",2016-09-15,770,"város","Somogy","Fonyódi","4745","nincs","nem_hatranyos_helyzetu",2016
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Forráskút","FORDEX 99 KERESKEDELMI ÉS SZOLGÁLTATÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG","Kapacitásbővítés a Fordex '99 Kft.-nél",2015-06-24,17.05062,"község","Csongrád","Mórahalmi","2252","nincs","LHH",2015
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Forráskút","HAÁSZ Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Haász Kft. kapacitásbővítése",2016-01-19,38.1255,"község","Csongrád","Mórahalmi","2252","nincs","LHH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Forráskút","FORDEX 99 Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Termelési kapacitásbővítés a FORDEX 99 Kft.-nél",2016-01-21,38.087294,"község","Csongrád","Mórahalmi","2252","nincs","LHH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Forráskút","AUTÓFRANCE Korlátolt Felelősségű Társaság","Kapacitásbővítés a hullladék-újrahasznosításban",2016-06-02,48.577,"község","Csongrád","Mórahalmi","2252","nincs","LHH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Forráskút","FRONTEXTIL Korlátolt Felelősségű Társaság","Új tésztagyártó üzem létrehozása",2016-07-08,31.93134,"község","Csongrád","Mórahalmi","2252","nincs","LHH",2016
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Forráskút","FORRÁSKÚT KÖZSÉG ÖNKORMÁNYZATA","FORRÁSKÚT KÖZSÉG ÖNKORMÁNYZATA ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,6,"község","Csongrád","Mórahalmi","2252","nincs","LHH",2016
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Furta","FURTA KÖZSÉG ÖNKORMÁNYZATA","FURTA KÖZSÉG ÖNKORMÁNYZATA ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,5.984886,"község","Hajdú-Bihar","Berettyóújfalui","1157","nincs","LHHK",2016
"KEHOP-2.1.2-15","KEHOP","Felhívás egyes, derogációval érintett ivóvízminőség-javító projektek megvalósítására","Fábiánsebestyén","NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság","Ivóvízminőség-javító beruházás Fábiánsebestyénen",2016-05-20,116.03286,"község","Csongrád","Szentesi","1940","nincs","HH",2016
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Fábiánsebestyén","FÁBIÁNSEBESTYÉN KÖZSÉGI ÖNKORMÁNYZAT","FÁBIÁNSEBESTYÉN KÖZSÉGI ÖNKORMÁNYZAT ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,6,"község","Csongrád","Szentesi","1940","nincs","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Fácánkert","DUNA TRANS Fuvarozási Betéti Társaság","Duna Trans Bt. Termelési Kapacitásának Fejlesztése",2016-03-30,5.7,"község","Tolna","Tolnai","624","nincs","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Fényeslitke","""KERAMIK"" Kereskedelmi és Szolgáltató Betéti Társaság.","""KERAMIK"" BT kapacitásbővítő beruházása Fényeslitkén",2016-01-15,28.610957,"község","Szabolcs-Szatmár-Bereg","Kisvárdai","2414","van","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Fényeslitke","Gyüre Zoltán Ferencné egyéni vállalkozó","Új profil bevezetéséhez szükséges beruházás",2016-03-25,36.343322,"község","Szabolcs-Szatmár-Bereg","Kisvárdai","2414","van","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Fényeslitke","PAPIKMETÁL Fémmegmunkáló és Kereskedelmi Korlátolt Felelősségű Társaság","Fémmegmunkáló kapacitás bővítése",2016-03-25,32.586465,"község","Szabolcs-Szatmár-Bereg","Kisvárdai","2414","van","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Fényeslitke","ATTIPO-KER Korlátolt Felelősségű Társaság","Kapacitásbővítő beruházás az Attipo-Ker Kft.-nél",2016-09-19,20.4969,"község","Szabolcs-Szatmár-Bereg","Kisvárdai","2414","van","HH",2016
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Fényeslitke","Fényeslitke Község Önkormányzata","Fényeslitke Község Önkormányzata ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,5.994977,"község","Szabolcs-Szatmár-Bereg","Kisvárdai","2414","van","HH",2016
"KEHOP-2.2.2-15","KEHOP","Felhívás a fejlesztési kötelezettséggel rendelkező települések számára szennyvízelvezetéssel és -kezeléssel kapcsolatos fejlesztések megvalósítására","Fót","NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság","Fót Város szennyvízelvezetésének fejlesztése ",2016-06-14,499.999999,"város","Pest","Dunakeszi","19216","van","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Földes","Szőllősi Sándor egyéni vállalkozó","Eszközbeszerzés Szőllősi Sándor egyéni vállalkozó részére",2016-01-15,5.04,"nagyközség","Hajdú-Bihar","Püspökladányi","3953","van","LHH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Földes","NNK Környezetgazdálkodási, Számítástechnikai Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Mikroalga-tartalmú trágyázópasztilla előállítása a biogazdálkodás elősegítése érdekében.",2016-07-08,28.149048,"nagyközség","Hajdú-Bihar","Püspökladányi","3953","van","LHH",2016
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Földes","FÖLDES NAGYKÖZSÉG ÖNKORMÁNYZATA","FÖLDES NAGYKÖZSÉG ÖNKORMÁNYZATA ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,7,"nagyközség","Hajdú-Bihar","Püspökladányi","3953","van","LHH",2016
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Földes","Földes Nagyközségi Népfőiskolai Egyesület","„Közös érdekünk - Társadalmi szerepvállalás erősítése a közösségek fejlesztésével Földesen”  ",2017-02-08,24.704415,"nagyközség","Hajdú-Bihar","Püspökladányi","3953","van","LHH",2017
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Földeák","FÖLDEÁK KÖZSÉGI ÖNKORMÁNYZAT","FÖLDEÁK KÖZSÉGI ÖNKORMÁNYZAT ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,7,"község","Csongrád","Makói","2973","nincs","HH",2016
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Földeák","Termáltechnika Kft.","Gyakornoki program a Termáltechnika Kft-nél",2017-02-09,2.285725,"község","Csongrád","Makói","2973","nincs","HH",2017
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Füle","FÜLE KÖZSÉG ÖNKORMÁNYZATA","FÜLE KÖZSÉG ÖNKORMÁNYZATA ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,5.999791,"község","Fejér","Székesfehérvári","843","nincs","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Fülöp","SÜTŐ-MALOM 2000 Élelmiszergyártó és Kereskedelmi Korlátolt Felelősségű Társaság","Sütőüzem kapacitásbővítő beruházásnak megvalósítása a Sütő-Malom 2000 KFt-nél",2016-01-18,32.97266,"község","Hajdú-Bihar","Nyíradonyi","1766","nincs","LHH",2016
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Fülöp","Opera Közhasznú Kulturális Egyesület","„Nincs előttünk lábnyom”",2017-02-08,24.99874,"község","Hajdú-Bihar","Nyíradonyi","1766","nincs","LHH",2017
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Fülöp","Humán Fejlesztők Kollégiuma","Kell egy hely! – Közösségi kezdeményezések megerősítése Hajdú-Bihar megyében ",2017-02-08,24.999043,"község","Hajdú-Bihar","Nyíradonyi","1766","nincs","LHH",2017
"KEHOP-4.1.0-15","KEHOP","Élőhelyek és fajok természetvédelmi helyzetének javítása, a természetvédelmi kezelés és bemutatás infrastruktúrájának fejlesztése","Fülöpháza","KISKUNSÁGI NEMZETI PARK IGAZGATÓSÁG","Naprózsa Ház a homokon",2016-08-09,90,"község","Bács-Kiskun","Kecskeméti","858","nincs","nem_hatranyos_helyzetu",2016
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Fülöpszállás","FÜLÖPSZÁLLÁS KÖZSÉGI ÖNKORMÁNYZAT","FÜLÖPSZÁLLÁS KÖZSÉGI ÖNKORMÁNYZAT ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,5.999335,"község","Bács-Kiskun","Kiskőrösi","2141","van","HH",2016
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Füzesabony","""KATEX '98"" Gyártó és Kereskedelmi Korlátolt Felelősségű Társaság","Munkaruházat gyártás kapacitásnövelése eszközbeszerzéssel ",2015-07-23,13.826635,"város","Heves","Füzesabonyi","7527","van","HH",2015
"KEHOP-2.2.2-15","KEHOP","Felhívás a fejlesztési kötelezettséggel rendelkező települések számára szennyvízelvezetéssel és -kezeléssel kapcsolatos fejlesztések megvalósítására","Füzesabony","NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság","Füzesabony város szennyvízelvezetésének- és tisztításának bővítése, korszerűsítése",2015-12-02,849.654801,"város","Heves","Füzesabonyi","7527","van","HH",2015
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Füzesabony","NUMAN és TÁRSA Sütőipari és Kereskedelmi Korlátolt Felelősségű Társaság","Élelmiszeripari tésztafeldolgozó gépek beszerzése a NUMAN és TÁRSA Kft.-nél ",2016-06-01,27.797,"város","Heves","Füzesabonyi","7527","van","HH",2016
"TOP-3.1.1-15-HE1","TOP","Fenntartható települési közlekedésfejlesztés","Füzesabony","FÜZESABONY VÁROSI ÖNKORMÁNYZAT","Füzesabony - Szihalom között kerékpáros infrastruktúra építése",2016-09-01,230,"város","Heves","Füzesabonyi","7527","van","HH",2016
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Füzesabony","Széchenyi István Katolikus Általános Iskola","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével a Széchenyi István Katolikus Általános Iskolában ",2017-02-08,25,"város","Heves","Füzesabonyi","7527","van","HH",2017
"EFOP-1.2.1-15","EFOP","Védőháló a családokért","Füzesgyarmat","Ösvény Esélynövelő Alapítvány","TÁMASZ -  Családsegítő programsorozat az Ösvény Esélynövelő Alapítványnál",2016-12-22,40,"város","Békés","Szeghalmi","5752","van","LHH",2016
"KEHOP-5.2.6-16","KEHOP","Tanuszodák és sportlétesítmények épületenergetikai fejlesztése","Füzesgyarmat","Nemzeti Fejlesztési és Stratégiai Intézet Korlátolt Felelősségű Társaság","Dél-alföldi tanuszodák épületenergetikai fejlesztése megújuló energiaforrás hasznosításának lehetőségével",2017-01-19,30,"város","Békés","Szeghalmi","5752","van","LHH",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Füzesgyarmat","PETROLTEAM Olajipari Szolgáltató és Szállitmányozási Korlátolt Felelősségü Társaság","Gyakornoki program pályakezdők támogatására a Petrolteam Kft.-nél",2017-02-09,5.79206,"város","Békés","Szeghalmi","5752","van","LHH",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Füzesgyarmat","GOLDEN PALLET Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","A GOLDEN PALLET Kft. gyakornoki projektje.",2017-02-10,9.81227,"város","Békés","Szeghalmi","5752","van","LHH",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Füzesgyarmat","Egeresi István egyéni vállalkozó","Egeresi István egyéni vállalkozó gyakornoki projektje",2017-02-16,2.68539,"város","Békés","Szeghalmi","5752","van","LHH",2017
